OrderKey,OrderAlternateKey,Order Date,Ship Date,Ship Mode
106572,CA-2014-106572,09/05/2014,09/10/2014,Standard Class
128888,CA-2014-128888,11/15/2014,11/22/2014,Standard Class
123134,CA-2017-123134,05/02/2017,05/07/2017,Standard Class
124352,CA-2016-124352,10/15/2016,10/21/2016,Standard Class
124541,CA-2015-124541,04/06/2015,04/10/2015,Standard Class
108707,CA-2014-108707,10/24/2014,10/29/2014,Standard Class
111500,CA-2014-111500,8/17/2014,8/21/2014,Standard Class
117723,US-2017-117723,8/15/2017,8/18/2017,Second Class
143238,CA-2015-143238,09/06/2015,09/08/2015,First Class
168746,CA-2015-168746,1/27/2015,1/29/2015,Second Class
113404,CA-2015-113404,7/16/2015,7/16/2015,Same Day
144792,CA-2016-144792,4/30/2016,05/04/2016,Standard Class
164385,CA-2014-164385,9/26/2014,10/01/2014,Second Class
114174,US-2016-114174,09/08/2016,9/14/2016,Standard Class
108070,CA-2017-108070,4/16/2017,4/20/2017,Standard Class
128090,US-2015-128090,8/16/2015,8/22/2015,Standard Class
101042,CA-2017-101042,11/19/2017,11/23/2017,Standard Class
155439,CA-2016-155439,9/14/2016,9/18/2016,Standard Class
118626,CA-2016-118626,8/15/2016,8/20/2016,Standard Class
111458,CA-2015-111458,9/26/2015,9/30/2015,Standard Class
126844,US-2016-126844,10/08/2016,10/14/2016,Standard Class
112508,US-2015-112508,3/24/2015,3/30/2015,Standard Class
147788,CA-2015-147788,5/31/2015,06/04/2015,Standard Class
144288,CA-2015-144288,12/25/2015,12/31/2015,Standard Class
110632,CA-2015-110632,3/17/2015,3/22/2015,Second Class
109589,CA-2017-109589,12/21/2017,12/24/2017,First Class
123967,CA-2017-123967,11/01/2017,11/03/2017,Second Class
148929,CA-2017-148929,09/07/2017,09/11/2017,Standard Class
134404,CA-2017-134404,12/27/2017,12/27/2017,Same Day
109778,CA-2017-109778,7/16/2017,7/21/2017,Standard Class
155845,CA-2016-155845,08/12/2016,8/15/2016,Second Class
145128,CA-2017-145128,07/09/2017,7/14/2017,Standard Class
129091,CA-2014-129091,11/22/2014,11/27/2014,Standard Class
155502,US-2014-155502,1/26/2014,1/31/2014,Standard Class
121041,CA-2015-121041,11/03/2015,11/10/2015,Standard Class
131695,CA-2017-131695,6/30/2017,07/06/2017,Standard Class
137729,CA-2016-137729,05/05/2016,05/09/2016,Standard Class
115455,US-2016-115455,09/08/2016,9/14/2016,Standard Class
128300,CA-2017-128300,11/24/2017,11/26/2017,Second Class
149048,CA-2017-149048,5/13/2017,5/17/2017,Standard Class
108553,CA-2017-108553,4/23/2017,4/29/2017,Standard Class
165848,CA-2016-165848,06/04/2016,06/04/2016,Same Day
112718,CA-2014-112718,12/16/2014,12/21/2014,Standard Class
154053,CA-2016-154053,03/04/2016,03/10/2016,Standard Class
127446,CA-2014-127446,11/25/2014,11/30/2014,Standard Class
137204,CA-2016-137204,4/28/2016,05/05/2016,Standard Class
147298,CA-2014-147298,4/26/2014,05/03/2014,Standard Class
147942,CA-2017-147942,04/01/2017,04/05/2017,Standard Class
115931,CA-2017-115931,12/22/2017,12/26/2017,Standard Class
164861,CA-2014-164861,12/03/2014,12/06/2014,Second Class
127180,CA-2017-127180,10/22/2017,10/24/2017,First Class
165344,US-2017-165344,11/13/2017,11/15/2017,First Class
168186,CA-2015-168186,09/10/2015,9/15/2015,Standard Class
110604,US-2017-110604,5/15/2017,5/20/2017,Standard Class
116750,CA-2015-116750,07/05/2015,07/10/2015,Second Class
162369,CA-2015-162369,8/15/2015,8/19/2015,Standard Class
108441,CA-2017-108441,06/12/2017,6/18/2017,Standard Class
169740,CA-2015-169740,2/20/2015,2/25/2015,Standard Class
124051,CA-2016-124051,12/29/2016,12/30/2016,First Class
149111,CA-2016-149111,4/17/2016,4/21/2016,Second Class
131002,CA-2014-131002,09/07/2014,09/12/2014,Second Class
146794,US-2016-146794,9/26/2016,10/01/2016,Standard Class
112515,CA-2017-112515,9/17/2017,9/21/2017,Second Class
150343,CA-2016-150343,8/16/2016,8/20/2016,Standard Class
135538,CA-2015-135538,12/24/2015,12/28/2015,Standard Class
123372,CA-2017-123372,11/28/2017,12/02/2017,Standard Class
159604,CA-2017-159604,4/14/2017,4/15/2017,First Class
164784,CA-2016-164784,05/01/2016,05/04/2016,First Class
111794,CA-2016-111794,10/01/2016,10/01/2016,Same Day
139759,US-2015-139759,8/25/2015,8/30/2015,Standard Class
126403,CA-2014-126403,09/09/2014,09/12/2014,Second Class
136875,CA-2017-136875,12/03/2017,12/03/2017,Same Day
132185,CA-2017-132185,11/27/2017,12/02/2017,Standard Class
160780,US-2014-160780,6/21/2014,6/21/2014,Same Day
127026,CA-2017-127026,1/21/2017,1/27/2017,Standard Class
137085,CA-2017-137085,6/29/2017,07/06/2017,Standard Class
133123,CA-2016-133123,09/06/2016,09/11/2016,Standard Class
128195,US-2016-128195,08/04/2016,08/05/2016,First Class
153220,CA-2015-153220,11/12/2015,11/14/2015,First Class
123064,CA-2014-123064,6/30/2014,07/02/2014,First Class
156412,CA-2017-156412,12/04/2017,12/08/2017,Standard Class
144211,US-2016-144211,8/28/2016,09/02/2016,Standard Class
138079,CA-2016-138079,1/22/2016,1/28/2016,Standard Class
143182,CA-2014-143182,10/15/2014,10/20/2014,Standard Class
161662,CA-2016-161662,02/07/2016,02/09/2016,First Class
145317,CA-2014-145317,3/18/2014,3/23/2014,Standard Class
143413,CA-2014-143413,5/24/2014,5/30/2014,Standard Class
156818,CA-2017-156818,07/11/2017,7/13/2017,Second Class
155873,CA-2017-155873,6/16/2017,6/21/2017,Standard Class
121797,CA-2015-121797,1/30/2015,02/06/2015,Standard Class
120572,US-2015-120572,12/11/2015,12/15/2015,Standard Class
132430,CA-2017-132430,10/09/2017,10/11/2017,First Class
146031,CA-2017-146031,7/29/2017,08/01/2017,Second Class
110100,CA-2014-110100,4/25/2014,4/29/2014,Standard Class
103723,CA-2015-103723,12/01/2015,12/06/2015,Standard Class
127187,CA-2014-127187,12/04/2014,12/08/2014,Standard Class
128475,CA-2017-128475,8/26/2017,09/01/2017,Standard Class
100006,CA-2014-100006,09/07/2014,9/13/2014,Standard Class
144827,CA-2017-144827,12/21/2017,12/27/2017,Standard Class
110030,CA-2014-110030,12/06/2014,12/08/2014,Second Class
121286,CA-2014-121286,11/04/2014,11/08/2014,Second Class
164735,CA-2016-164735,4/14/2016,4/19/2016,Second Class
153479,CA-2014-153479,10/04/2014,10/08/2014,Standard Class
149888,CA-2017-149888,11/07/2017,11/13/2017,Standard Class
119193,CA-2017-119193,12/22/2017,12/24/2017,First Class
104801,CA-2017-104801,2/13/2017,2/19/2017,Standard Class
107594,CA-2014-107594,07/02/2014,07/06/2014,Standard Class
129770,CA-2015-129770,2/21/2015,2/23/2015,Second Class
115798,CA-2015-115798,11/13/2015,11/19/2015,Standard Class
122707,CA-2017-122707,4/16/2017,4/18/2017,First Class
165015,CA-2016-165015,2/25/2016,2/27/2016,Second Class
149244,CA-2014-149244,11/04/2014,11/08/2014,Standard Class
140144,CA-2015-140144,6/20/2015,6/25/2015,Second Class
163321,CA-2017-163321,08/07/2017,08/11/2017,Second Class
155887,CA-2014-155887,05/12/2014,5/17/2014,Standard Class
165449,US-2015-165449,11/22/2015,11/26/2015,Standard Class
110247,CA-2015-110247,12/04/2015,12/08/2015,Standard Class
141257,US-2014-141257,06/08/2014,6/14/2014,Standard Class
154669,CA-2014-154669,08/08/2014,08/11/2014,Second Class
158029,CA-2014-158029,5/26/2014,5/30/2014,Standard Class
155306,CA-2015-155306,4/17/2015,4/21/2015,Standard Class
127775,CA-2016-127775,06/11/2016,6/13/2016,Second Class
146171,CA-2016-146171,03/11/2016,3/15/2016,Standard Class
129574,CA-2014-129574,5/26/2014,5/29/2014,First Class
126536,CA-2017-126536,10/12/2017,10/14/2017,First Class
165757,CA-2017-165757,6/22/2017,6/28/2017,Standard Class
167752,CA-2017-167752,1/15/2017,1/18/2017,First Class
122140,US-2015-122140,04/02/2015,04/07/2015,Standard Class
163986,CA-2016-163986,09/03/2016,09/10/2016,Standard Class
158967,CA-2017-158967,12/10/2017,12/12/2017,First Class
131576,CA-2016-131576,11/22/2016,11/26/2016,Standard Class
143455,CA-2017-143455,11/11/2017,11/18/2017,Standard Class
144729,CA-2016-144729,10/21/2016,10/25/2016,Standard Class
127019,CA-2015-127019,12/21/2015,12/25/2015,Standard Class
138534,CA-2015-138534,7/17/2015,7/19/2015,Second Class
108322,CA-2017-108322,4/30/2017,05/05/2017,Standard Class
167668,CA-2017-167668,05/06/2017,05/08/2017,First Class
146724,CA-2017-146724,11/20/2017,11/27/2017,Standard Class
139878,CA-2016-139878,11/11/2016,11/16/2016,Standard Class
106677,US-2016-106677,11/05/2016,11/10/2016,Standard Class
116974,CA-2016-116974,10/09/2016,10/15/2016,Standard Class
149972,CA-2015-149972,9/21/2015,9/23/2015,First Class
117744,US-2014-117744,12/02/2014,12/06/2014,Standard Class
125514,CA-2014-125514,9/21/2014,9/22/2014,First Class
154599,CA-2014-154599,04/12/2014,4/17/2014,Standard Class
158743,CA-2017-158743,10/20/2017,10/27/2017,Standard Class
153318,CA-2016-153318,10/25/2016,10/28/2016,First Class
110163,US-2015-110163,11/01/2015,11/04/2015,First Class
143329,CA-2017-143329,11/03/2017,11/08/2017,Standard Class
159380,CA-2015-159380,05/12/2015,5/16/2015,Standard Class
122623,CA-2015-122623,09/07/2015,09/11/2015,Standard Class
148635,CA-2015-148635,7/25/2015,7/27/2015,Second Class
135685,CA-2015-135685,11/16/2015,11/18/2015,Second Class
104626,CA-2015-104626,09/01/2015,09/08/2015,Standard Class
160500,CA-2016-160500,05/05/2016,05/08/2016,First Class
100202,CA-2017-100202,12/31/2016,01/05/2017,Standard Class
131016,CA-2017-131016,9/18/2017,9/20/2017,First Class
112914,US-2014-112914,9/25/2014,9/30/2014,Standard Class
124149,CA-2016-124149,4/23/2016,4/26/2016,First Class
148915,CA-2014-148915,11/01/2014,11/05/2014,Standard Class
134649,CA-2017-134649,1/26/2017,1/31/2017,Second Class
110842,CA-2017-110842,11/11/2017,11/16/2017,Standard Class
147368,CA-2016-147368,06/09/2016,06/12/2016,First Class
104185,US-2015-104185,09/03/2015,09/08/2015,Second Class
125521,US-2014-125521,3/14/2014,3/19/2014,Standard Class
135062,US-2017-135062,8/31/2017,09/04/2017,Second Class
135650,CA-2017-135650,3/23/2017,3/27/2017,Standard Class
112865,CA-2017-112865,5/18/2017,5/22/2017,Standard Class
162852,US-2016-162852,12/27/2016,12/31/2016,Standard Class
138163,CA-2017-138163,11/17/2017,11/20/2017,First Class
152093,CA-2017-152093,09/10/2017,9/15/2017,Standard Class
157854,CA-2017-157854,04/08/2017,4/15/2017,Standard Class
123617,CA-2016-123617,11/28/2016,12/03/2016,Standard Class
128293,US-2016-128293,06/02/2016,06/05/2016,First Class
107342,CA-2017-107342,12/17/2017,12/22/2017,Standard Class
136371,CA-2016-136371,3/19/2016,3/21/2016,Second Class
137344,CA-2017-137344,8/20/2017,8/20/2017,Same Day
169810,CA-2017-169810,7/25/2017,7/31/2017,Standard Class
128594,CA-2016-128594,8/26/2016,8/29/2016,First Class
154690,CA-2016-154690,8/15/2016,8/17/2016,Second Class
138975,CA-2017-138975,5/19/2017,5/23/2017,Standard Class
106537,CA-2017-106537,08/12/2017,8/17/2017,Standard Class
103828,US-2017-103828,8/13/2017,8/13/2017,Same Day
115588,CA-2016-115588,11/10/2016,11/12/2016,Second Class
143861,CA-2017-143861,06/12/2017,6/19/2017,Standard Class
148040,CA-2014-148040,3/22/2014,3/26/2014,Standard Class
135167,CA-2017-135167,6/15/2017,6/20/2017,Standard Class
137022,CA-2017-137022,11/16/2017,11/22/2017,Standard Class
102638,US-2017-102638,12/29/2017,12/31/2017,First Class
167339,US-2016-167339,1/21/2016,1/23/2016,Second Class
152072,CA-2016-152072,1/15/2016,1/19/2016,Standard Class
102932,CA-2016-102932,9/19/2016,9/23/2016,Second Class
165540,CA-2014-165540,2/21/2014,2/25/2014,Standard Class
130799,CA-2016-130799,11/11/2016,11/16/2016,Second Class
164483,CA-2016-164483,1/30/2016,02/03/2016,Standard Class
159856,US-2016-159856,10/18/2016,10/22/2016,Standard Class
102099,CA-2017-102099,12/18/2017,12/19/2017,First Class
164049,CA-2017-164049,11/02/2017,11/06/2017,Standard Class
142727,CA-2014-142727,4/29/2014,05/01/2014,Second Class
139913,CA-2017-139913,10/23/2017,10/29/2017,Standard Class
169033,CA-2014-169033,3/30/2014,04/03/2014,Standard Class
164630,US-2016-164630,01/04/2016,01/09/2016,Standard Class
114839,US-2015-114839,4/26/2015,4/30/2015,Standard Class
166464,CA-2015-166464,09/12/2015,9/17/2015,Standard Class
124898,CA-2017-124898,09/11/2017,9/15/2017,Standard Class
164035,CA-2016-164035,06/12/2016,6/17/2016,Standard Class
153577,CA-2016-153577,6/27/2016,07/01/2016,Standard Class
127586,CA-2014-127586,9/26/2014,9/30/2014,Standard Class
121615,CA-2017-121615,11/03/2017,11/09/2017,Standard Class
166415,CA-2017-166415,2/19/2017,2/23/2017,Standard Class
118444,CA-2015-118444,11/05/2015,11/09/2015,Standard Class
113929,CA-2014-113929,6/16/2014,6/21/2014,Standard Class
134747,CA-2015-134747,10/12/2015,10/17/2015,Second Class
155047,CA-2017-155047,8/27/2017,8/30/2017,First Class
160129,CA-2016-160129,11/23/2016,11/23/2016,Same Day
164329,CA-2017-164329,1/30/2017,1/30/2017,Same Day
141453,US-2015-141453,11/30/2015,12/03/2015,Second Class
156993,CA-2014-156993,6/28/2014,07/04/2014,Standard Class
157721,CA-2014-157721,09/02/2014,09/05/2014,First Class
128629,CA-2017-128629,07/10/2017,7/14/2017,Second Class
158106,CA-2017-158106,06/04/2017,06/10/2017,Standard Class
120390,US-2017-120390,10/19/2017,10/26/2017,Standard Class
143434,CA-2017-143434,11/18/2017,11/24/2017,Standard Class
168564,CA-2015-168564,08/08/2015,08/08/2015,Same Day
169040,US-2016-169040,12/06/2016,12/12/2016,Standard Class
155880,CA-2017-155880,3/25/2017,3/31/2017,Standard Class
126242,CA-2017-126242,11/19/2017,11/24/2017,Standard Class
166443,CA-2016-166443,11/04/2016,11/05/2016,First Class
169859,CA-2017-169859,12/14/2017,12/18/2017,Standard Class
134915,CA-2017-134915,11/12/2017,11/12/2017,Same Day
153353,CA-2016-153353,8/18/2016,8/24/2016,Standard Class
123638,CA-2017-123638,6/27/2017,07/04/2017,Standard Class
168900,CA-2017-168900,05/04/2017,05/09/2017,Standard Class
158456,CA-2015-158456,12/24/2015,12/29/2015,Standard Class
143665,CA-2017-143665,4/26/2017,05/01/2017,Standard Class
137428,CA-2017-137428,12/16/2017,12/21/2017,Second Class
162866,CA-2014-162866,12/27/2014,12/31/2014,Standard Class
167941,CA-2017-167941,11/06/2017,11/09/2017,Second Class
111808,CA-2017-111808,12/16/2017,12/20/2017,Standard Class
137512,CA-2015-137512,05/07/2015,05/12/2015,Standard Class
139773,CA-2017-139773,12/04/2017,12/04/2017,Same Day
134607,CA-2017-134607,10/03/2017,10/08/2017,Second Class
109232,CA-2014-109232,1/13/2014,1/16/2014,Second Class
139850,CA-2015-139850,06/12/2015,6/17/2015,Standard Class
131310,CA-2014-131310,07/12/2014,7/18/2014,Standard Class
112872,US-2014-112872,12/06/2014,12/11/2014,Second Class
139269,CA-2016-139269,5/25/2016,5/30/2016,Standard Class
139010,CA-2016-139010,2/21/2016,2/26/2016,Second Class
134376,CA-2016-134376,10/02/2016,10/06/2016,Standard Class
147291,CA-2017-147291,03/11/2017,3/17/2017,Standard Class
112893,CA-2016-112893,09/09/2016,9/13/2016,Second Class
150532,US-2014-150532,7/14/2014,7/21/2014,Standard Class
138317,CA-2014-138317,6/21/2014,6/25/2014,Standard Class
130610,CA-2015-130610,07/05/2015,07/10/2015,Standard Class
104381,CA-2017-104381,12/16/2017,12/23/2017,Standard Class
131499,CA-2016-131499,09/08/2016,09/10/2016,First Class
148761,CA-2014-148761,5/17/2014,5/21/2014,Standard Class
116519,CA-2017-116519,10/13/2017,10/15/2017,First Class
130729,CA-2014-130729,10/24/2014,10/29/2014,Standard Class
124772,CA-2016-124772,12/05/2016,12/06/2016,First Class
115525,CA-2016-115525,7/25/2016,7/29/2016,Standard Class
134845,CA-2017-134845,4/17/2017,4/23/2017,Standard Class
138919,US-2015-138919,9/17/2015,9/21/2015,Standard Class
160528,US-2016-160528,8/23/2016,8/30/2016,Standard Class
123568,CA-2015-123568,11/08/2015,11/14/2015,Standard Class
124674,CA-2017-124674,11/17/2017,11/23/2017,Standard Class
164441,CA-2015-164441,11/08/2015,11/13/2015,Standard Class
169054,CA-2017-169054,4/22/2017,4/26/2017,Standard Class
106719,CA-2014-106719,8/24/2014,8/24/2014,Same Day
116855,CA-2017-116855,12/17/2017,12/21/2017,Standard Class
164189,US-2016-164189,3/24/2016,3/28/2016,Standard Class
168480,CA-2015-168480,9/21/2015,9/27/2015,Standard Class
114293,US-2016-114293,11/21/2016,11/26/2016,Standard Class
134173,CA-2017-134173,9/16/2017,9/21/2017,Standard Class
123960,US-2015-123960,06/11/2015,6/16/2015,Standard Class
101749,CA-2017-101749,10/03/2017,10/08/2017,Standard Class
147991,US-2016-147991,05/05/2016,05/09/2016,Standard Class
149559,CA-2017-149559,09/11/2017,09/12/2017,Same Day
135174,CA-2015-135174,4/30/2015,05/02/2015,Second Class
125290,CA-2017-125290,11/06/2017,11/10/2017,Second Class
137351,CA-2014-137351,9/30/2014,10/04/2014,Standard Class
121419,CA-2017-121419,04/02/2017,04/04/2017,First Class
148054,US-2017-148054,10/06/2017,10/11/2017,Standard Class
128517,CA-2016-128517,04/09/2016,4/14/2016,Second Class
100377,US-2015-100377,8/28/2015,09/01/2015,Standard Class
131492,CA-2017-131492,10/19/2017,10/24/2017,Second Class
144554,CA-2016-144554,11/07/2016,11/12/2016,Standard Class
127621,CA-2017-127621,03/03/2017,03/07/2017,Standard Class
145184,CA-2015-145184,11/27/2015,11/29/2015,First Class
106859,CA-2017-106859,3/13/2017,3/18/2017,Second Class
120089,US-2017-120089,11/30/2017,11/30/2017,Same Day
119375,CA-2014-119375,11/17/2014,11/22/2014,Standard Class
125206,CA-2016-125206,01/03/2016,01/05/2016,First Class
126137,CA-2015-126137,10/03/2015,10/08/2015,Standard Class
143903,CA-2014-143903,7/20/2014,7/24/2014,Standard Class
104780,CA-2014-104780,5/21/2014,5/25/2014,Standard Class
101182,CA-2017-101182,09/04/2017,09/05/2017,First Class
132297,US-2017-132297,5/27/2017,06/02/2017,Standard Class
100328,CA-2014-100328,1/28/2014,02/03/2014,Standard Class
118773,CA-2017-118773,02/09/2017,2/14/2017,Standard Class
159205,US-2017-159205,3/31/2017,04/02/2017,Second Class
112123,CA-2016-112123,03/03/2016,03/08/2016,Standard Class
114468,CA-2015-114468,8/23/2015,8/23/2015,Same Day
135692,CA-2017-135692,4/27/2017,05/01/2017,Standard Class
131233,CA-2017-131233,4/14/2017,4/19/2017,Standard Class
119578,CA-2017-119578,12/22/2017,12/27/2017,Second Class
124562,CA-2016-124562,12/08/2016,12/12/2016,Standard Class
140074,US-2017-140074,3/23/2017,3/29/2017,Standard Class
103037,CA-2016-103037,7/25/2016,7/29/2016,Standard Class
127460,CA-2017-127460,07/10/2017,7/14/2017,Standard Class
121671,CA-2016-121671,7/17/2016,7/22/2016,Standard Class
150350,CA-2016-150350,8/23/2016,8/30/2016,Standard Class
121720,CA-2015-121720,06/11/2015,06/12/2015,First Class
149895,CA-2017-149895,09/08/2017,09/12/2017,Standard Class
147564,CA-2017-147564,10/02/2017,10/06/2017,Standard Class
136399,CA-2014-136399,12/16/2014,12/17/2014,First Class
107916,CA-2014-107916,8/24/2014,8/26/2014,First Class
164168,CA-2017-164168,11/12/2017,11/18/2017,Standard Class
112557,CA-2015-112557,4/25/2015,4/28/2015,First Class
122959,US-2014-122959,12/12/2014,12/12/2014,Same Day
162572,CA-2017-162572,9/25/2017,9/27/2017,Second Class
148110,US-2016-148110,09/05/2016,09/11/2016,Standard Class
131828,CA-2017-131828,02/11/2017,2/13/2017,Second Class
109218,CA-2014-109218,6/30/2014,07/03/2014,Second Class
120558,CA-2016-120558,06/07/2016,06/10/2016,First Class
109036,US-2014-109036,12/20/2014,12/25/2014,Standard Class
147830,CA-2015-147830,12/15/2015,12/18/2015,First Class
150497,CA-2017-150497,7/20/2017,7/24/2017,Standard Class
128986,CA-2014-128986,08/03/2014,08/05/2014,Second Class
139584,CA-2015-139584,8/24/2015,8/28/2015,Standard Class
162677,US-2016-162677,3/26/2016,3/27/2016,First Class
150924,US-2014-150924,09/12/2014,9/16/2014,Second Class
153969,CA-2014-153969,9/21/2014,9/25/2014,Standard Class
146682,CA-2016-146682,10/29/2016,10/31/2016,First Class
138695,CA-2016-138695,5/28/2016,06/03/2016,Standard Class
107461,CA-2017-107461,12/21/2017,12/26/2017,Second Class
133879,US-2016-133879,3/21/2016,3/28/2016,Standard Class
157483,CA-2017-157483,11/11/2017,11/18/2017,Standard Class
132059,US-2017-132059,9/23/2017,9/29/2017,Standard Class
122280,CA-2017-122280,09/10/2017,09/10/2017,Same Day
105235,CA-2017-105235,12/05/2017,12/11/2017,Standard Class
152912,CA-2017-152912,11/09/2017,11/12/2017,Second Class
123498,CA-2014-123498,11/07/2014,11/09/2014,First Class
159352,CA-2017-159352,03/12/2017,3/17/2017,Standard Class
146416,US-2017-146416,10/20/2017,10/22/2017,Second Class
163783,US-2015-163783,12/27/2015,01/01/2016,Standard Class
123981,CA-2017-123981,10/02/2017,10/08/2017,Standard Class
158953,CA-2017-158953,06/04/2017,06/08/2017,Standard Class
165428,CA-2014-165428,09/01/2014,09/04/2014,First Class
169026,CA-2016-169026,08/08/2016,8/13/2016,Standard Class
109750,CA-2017-109750,7/22/2017,7/28/2017,Standard Class
149384,CA-2015-149384,07/10/2015,07/10/2015,Same Day
131527,CA-2014-131527,12/01/2014,12/07/2014,Standard Class
164000,CA-2017-164000,12/18/2017,12/22/2017,Standard Class
164224,CA-2014-164224,5/18/2014,5/20/2014,Second Class
158372,CA-2014-158372,11/10/2014,11/16/2014,Standard Class
108882,CA-2016-108882,01/09/2016,1/15/2016,Standard Class
108245,US-2017-108245,9/22/2017,9/27/2017,Standard Class
142314,CA-2014-142314,12/23/2014,12/28/2014,Standard Class
132409,CA-2016-132409,5/26/2016,06/01/2016,Standard Class
150189,CA-2017-150189,07/08/2017,07/10/2017,First Class
114433,CA-2014-114433,5/13/2014,5/17/2014,Standard Class
104640,CA-2017-104640,11/10/2017,11/16/2017,Standard Class
137008,US-2015-137008,10/02/2015,10/08/2015,Standard Class
108189,CA-2014-108189,10/02/2014,10/05/2014,First Class
154641,CA-2014-154641,08/11/2014,8/16/2014,Standard Class
131625,CA-2017-131625,09/01/2017,09/05/2017,Second Class
156356,US-2017-156356,4/16/2017,4/22/2017,Standard Class
138933,CA-2016-138933,4/24/2016,4/27/2016,First Class
140746,CA-2016-140746,1/15/2016,1/15/2016,Same Day
146836,CA-2016-146836,05/02/2016,05/02/2016,Same Day
127971,US-2016-127971,11/20/2016,11/27/2016,Standard Class
140809,US-2016-140809,02/01/2016,02/03/2016,First Class
114524,CA-2017-114524,3/31/2017,04/05/2017,Second Class
113355,CA-2017-113355,12/01/2017,12/05/2017,Standard Class
140907,US-2017-140907,12/10/2017,12/12/2017,Second Class
159730,CA-2016-159730,9/17/2016,9/21/2016,Standard Class
157868,CA-2016-157868,12/23/2016,12/29/2016,Standard Class
119389,CA-2017-119389,4/17/2017,4/19/2017,First Class
110373,CA-2017-110373,10/27/2017,10/30/2017,Second Class
155474,CA-2016-155474,07/08/2016,7/14/2016,Standard Class
155453,CA-2015-155453,08/09/2015,8/14/2015,Standard Class
161844,US-2016-161844,12/09/2016,12/14/2016,Second Class
162103,US-2016-162103,11/13/2016,11/17/2016,Standard Class
151554,CA-2014-151554,11/14/2014,11/15/2014,First Class
140662,CA-2014-140662,11/17/2014,11/19/2014,First Class
122518,CA-2016-122518,03/04/2016,03/08/2016,Second Class
126571,US-2014-126571,10/11/2014,10/15/2014,Standard Class
143840,CA-2014-143840,5/22/2014,5/29/2014,Standard Class
115980,CA-2014-115980,7/15/2014,7/19/2014,Standard Class
155145,CA-2015-155145,12/27/2015,12/29/2015,Second Class
146038,CA-2015-146038,02/09/2015,2/16/2015,Standard Class
133865,CA-2017-133865,05/08/2017,05/12/2017,Standard Class
116358,CA-2017-116358,11/02/2017,11/06/2017,Standard Class
102988,CA-2014-102988,04/05/2014,04/09/2014,Second Class
117170,US-2014-117170,9/17/2014,9/24/2014,Standard Class
159478,CA-2014-159478,9/30/2014,10/06/2014,Standard Class
103702,CA-2014-103702,09/12/2014,9/17/2014,Standard Class
150525,CA-2017-150525,2/20/2017,2/25/2017,Standard Class
157770,CA-2015-157770,12/13/2015,12/15/2015,First Class
167290,CA-2016-167290,10/30/2016,11/04/2016,Standard Class
106264,CA-2014-106264,12/26/2014,12/30/2014,Standard Class
138023,CA-2014-138023,8/15/2014,8/18/2014,First Class
113418,CA-2017-113418,10/01/2017,10/03/2017,First Class
110569,US-2015-110569,5/23/2015,5/30/2015,Standard Class
136308,CA-2017-136308,11/16/2017,11/16/2017,Same Day
159926,US-2014-159926,11/18/2014,11/22/2014,Standard Class
104738,CA-2014-104738,12/30/2014,01/01/2015,Second Class
144386,CA-2015-144386,11/05/2015,11/11/2015,Standard Class
111416,CA-2016-111416,9/17/2016,9/22/2016,Standard Class
162747,CA-2016-162747,3/20/2016,3/25/2016,Second Class
133130,US-2014-133130,9/27/2014,10/01/2014,Standard Class
169978,CA-2017-169978,12/24/2017,12/28/2017,Standard Class
161739,CA-2017-161739,11/10/2017,11/15/2017,Second Class
165057,CA-2015-165057,09/11/2015,9/15/2015,Standard Class
134551,CA-2014-134551,12/20/2014,12/25/2014,Standard Class
120810,CA-2015-120810,7/23/2015,7/27/2015,Standard Class
165309,CA-2014-165309,11/11/2014,11/15/2014,Standard Class
122595,CA-2017-122595,12/14/2017,12/20/2017,Standard Class
109253,US-2017-109253,8/21/2017,8/22/2017,First Class
145982,CA-2016-145982,8/27/2016,09/01/2016,Second Class
112014,CA-2015-112014,8/13/2015,8/20/2015,Standard Class
154732,CA-2017-154732,11/05/2017,11/07/2017,First Class
157308,US-2016-157308,8/17/2016,8/21/2016,Standard Class
147536,CA-2016-147536,12/26/2016,12/31/2016,Standard Class
134733,US-2014-134733,9/23/2014,9/28/2014,Standard Class
150434,US-2014-150434,7/19/2014,7/24/2014,Standard Class
100335,CA-2017-100335,09/07/2017,9/13/2017,Standard Class
139234,CA-2016-139234,05/06/2016,05/10/2016,Standard Class
142020,US-2015-142020,06/04/2015,06/08/2015,Second Class
139962,CA-2015-139962,12/13/2015,12/20/2015,Standard Class
130050,CA-2016-130050,7/16/2016,7/18/2016,Second Class
115161,CA-2014-115161,1/31/2014,02/02/2014,First Class
165379,CA-2014-165379,07/09/2014,7/15/2014,Standard Class
115511,CA-2015-115511,11/21/2015,11/25/2015,Standard Class
134887,CA-2016-134887,3/25/2016,3/25/2016,Same Day
123778,CA-2017-123778,9/23/2017,9/30/2017,Standard Class
161718,CA-2015-161718,12/04/2015,12/10/2015,Standard Class
100671,CA-2016-100671,11/01/2016,11/04/2016,First Class
142867,CA-2017-142867,3/17/2017,3/21/2017,Standard Class
103156,CA-2017-103156,11/23/2017,11/24/2017,First Class
162208,US-2017-162208,8/27/2017,8/30/2017,First Class
130659,CA-2015-130659,12/04/2015,12/09/2015,Second Class
148404,CA-2017-148404,10/07/2017,10/11/2017,Standard Class
101077,CA-2017-101077,3/25/2017,3/30/2017,Second Class
166471,CA-2014-166471,08/09/2014,8/13/2014,Standard Class
